section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769124265967,798.963,469.283,1.0,48,,-1.8629867618394707,8.268577806368208
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769127394967,818.996,470.106,1.0,48,,-0.5596094321234505,8.217244847718344
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769134011967,785.406,452.759,1.0,48,,-2.7495420306831573,9.333006748625127
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769140611967,799.74,448.367,1.0,48,,-1.816317270005333,9.619082117728558
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769143066967,811.53,446.519,1.0,48,,-1.047694102404932,9.739777944424926
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769149289967,798.667,468.712,1.0,48,,-1.8823448083508385,8.305391406890674
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769152419967,792.461,464.777,1.0,48,,-2.2869369482924355,8.558577662094947
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769158586967,795.819,464.738,1.0,48,,-2.0684184080158823,8.561634399473915
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769164893967,795.47,442.798,1.0,48,,-2.0960177238507205,9.97780912099128
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769168169967,831.306,472.267,1.0,48,,0.24117516986715362,8.077949250928615
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769175816967,835.087,473.208,1.0,48,,0.48708293961994303,8.01719500783326
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769177349967,808.499,464.66,1.0,48,,-1.2431741131300833,8.568215131120331
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769183631967,828.101,468.272,1.0,48,,0.03281415951594197,8.33597895527955
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769189939967,830.648,457.217,1.0,48,,0.1989856357106516,9.049967296234032
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769193009967,805.797,447.42,1.0,48,,-1.4214915519415572,9.680985612719672
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769202539967,796.528,472.868,1.0,48,,-2.0207229411790357,8.036784978957062
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769208679967,825.098,468.365,1.0,48,,-0.1626518870355708,8.329895716603723
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769214960967,814.475,474.167,1.0,48,,-0.8534898112193794,7.954687680082675
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769218047967,806.322,460.361,1.0,48,,-1.385429949899723,8.845585313175143
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769224287967,836.463,444.348,1.0,48,,0.579021634217996,9.88083181867933
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769230539967,793.483,477.5,1.0,48,,-2.217817994133276,7.737204944285683
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769233983967,812.201,478.01,1.0,48,,-1.0010777070448607,7.706260866039328
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769242523967,830.201,449.545,1.0,48,,0.17018410807171583,9.545347500268086
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769242991967,796.796,473.247,1.0,48,,-2.0032018635860527,8.01235961744005
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769249301967,827.219,460.25,1.0,48,,-0.024505768425039366,8.854089299533948
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769255476967,836.815,451.011,1.0,48,,0.6013518485841381,9.450643049321162
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769258629967,822.978,450.156,1.0,48,,-0.30087624532547985,9.50569946234956
