gazeX,gazeY
901.9793,655.4506
899.2635,652.1552
900.6047,657.8012
898.6652,655.3017
897.1608,660.3577
901.976,656.1661
901.0026,658.0646
901.2501,657.0416
901.4178,656.3362
898.9805,658.3465
897.1393,659.1654
896.7076,659.8422
897.6645,657.0064
899.202,659.2567
896.1437,658.3999
902.3578,657.5519
904.0048,651.483
899.2149,657.0528
900.2981,655.7336
903.25,660.8607
899.4057,660.6709
901.7853,656.2513
901.9699,658.985
900.9555,659.6508
898.3814,659.0737
899.9104,657.2704
903.332,660.6247
905.1984,657.5991
898.4141,660.8361
901.9371,660.9104
905.256,656.6172
901.8962,658.1666
901.6606,659.2679
903.3314,657.067
906.222,658.2666
899.9694,657.8734
902.8826,657.5015
900.2056,657.0219
903.9978,656.1142
898.1928,658.9819
893.1173,671.8889
883.5163,672.9637
871.4735,678.682
869.767,684.2048
864.9204,687.3295
877.1082,684.9371
880.3643,682.8236
882.7827,684.2486
881.2351,678.4491
877.2128,680.8208
875.2181,679.0105
874.6693,679.3397
877.9967,682.1866
877.5581,679.5481
876.6985,684.7338
876.3717,683.6029
877.2827,685.0676
875.551,679.3638
876.5632,683.2601
876.4829,680.8064
877.1139,684.6524
877.6375,682.6947
877.195,681.532
879.561,684.2493
873.3325,683.1233
877.7754,684.7075
873.6383,680.062
874.2217,682.6555
875.3071,682.2077
875.3128,681.4456
872.4771,682.4473
878.577,684.4345
872.2462,682.303
871.3694,681.5528
881.5455,688.4307
873.078,686.4856
874.6406,687.1128
878.3293,684.4159
873.6306,684.8334
877.3767,680.2064
873.553,685.269
876.0577,682.0887
874.4298,687.6579
877.4818,681.1157
879.0967,681.2614
879.5373,677.6839
874.65,683.9444
876.0257,682.512
875.7536,679.7951
877.2493,683.9694
878.0146,683.9909
876.2316,683.2511
875.8208,678.471
875.0301,686.4863
874.4813,685.5657
874.95,682.3867
876.6666,684.8023
870.483,683.4561
877.5425,683.0899
876.3741,683.4228
877.7671,685.3762
878.3256,682.5751
876.5477,681.4885
875.7066,682.1518
878.6493,684.5231
873.5978,685.0836
876.8091,680.9095
877.1759,682.8035
881.016,685.918
877.131,683.4192
872.6467,681.0307
874.5734,683.6532
874.0944,684.962
874.7518,685.2093
876.0784,685.6158
876.3177,685.9694
872.7946,683.2112
875.8336,686.7286
874.1914,685.1305
876.4736,681.411
874.768,684.489
875.3303,680.8972
869.7453,682.3904
873.2452,680.5477
874.0769,687.1221
875.819,681.2242
872.6833,682.5175
875.6912,687.7133
874.3947,684.6947
873.7481,682.2267
875.0061,683.6527
875.1113,684.6355
872.3344,684.9815
873.8864,684.3517
874.7065,682.3437
873.7652,682.6725
876.6635,686.2959
876.3498,681.4248
871.6065,681.5991
873.24,683.8223
872.4344,687.147
875.57,689.2995
871.4156,684.8954
877.6333,687.1058
870.722,686.3612
870.931,680.7808
874.4809,681.4576
872.3058,682.1774
874.5172,681.1375
868.9381,680.613
872.3018,685.1221
874.4607,684.9539
872.5332,680.9082
870.9787,683.2386
874.1861,681.7939
873.155,685.0946
874.1495,686.0224
876.2081,687.3149
878.1468,682.7011
872.3771,682.8382
875.6895,678.0445
873.1944,683.9401
871.9819,683.0128
872.574,684.0641
876.0314,682.9761
873.1987,684.7638
873.4319,686.3498
872.5193,684.3709
877.8049,683.0582
871.4418,683.5414
875.2624,684.1206
872.3915,685.8999
868.8322,684.71
859.721,688.3595
835.8194,695.0463
802.3409,703.2598
758.0919,714.1137
737.5456,722.2913
725.1091,720.3702
729.0712,723.9199
737.1243,727.3158
736.711,730.6655
741.4287,728.4147
742.3551,728.2483
742.6334,727.1255
743.6034,725.9121
738.6366,724.5793
740.5853,727.4885
739.5588,727.3766
733.1134,726.2451
732.6395,728.4524
736.7098,724.2071
737.2493,727.4662
734.9914,728.8817
738.1248,728.0747
738.0142,728.8183
737.5085,727.7426
738.1886,728.0487
738.7057,728.7643
740.0902,728.3136
734.6636,729.3331
731.783,724.8971
734.8499,729.8122
732.0977,727.22
739.7456,726.5827
735.974,729.4544
740.7452,729.3609
738.4003,727.5062
737.6003,727.2515
735.1302,729.136
735.2363,727.2845
737.0229,728.0381
732.3633,728.7666
739.107,725.8074
736.6038,726.3035
738.1382,725.9995
740.1677,731.4785
739.1935,729.7926
744.9976,724.4338
733.5889,728.5999
737.5828,727.5922
733.6066,728.4415
740.4954,726.0898
739.1211,729.2391
734.049,724.4657
737.2317,725.019
738.0712,724.1789
732.9595,725.6234
739.0678,725.3173
736.3805,730.8744
734.8477,728.6246
737.8767,728.6579
736.0585,726.7166
733.5128,727.8933
735.7882,726.1136
739.5045,725.1293
738.0603,725.9271
743.0026,726.7047
742.2161,727.6008
742.9447,724.3329
737.5279,726.5699
733.4327,724.9386
736.0046,724.1568
737.5724,723.4431
737.3707,728.5984
738.6383,725.3245
740.1311,725.3325
740.0271,724.9773
735.5039,725.5976
737.1214,722.0355
734.0511,725.6592
734.3771,724.6026
735.9896,723.5471
735.8036,724.7169
734.5484,721.7363
735.3955,726.0458
735.1434,724.1234
734.2987,725.1703
736.0115,727.4987
739.8043,726.546
737.9363,723.7172
737.5113,723.0511
731.4247,725.3591
737.0536,725.5274
734.1668,725.7449
731.1491,723.9417
736.355,724.6176
739.0527,726.7083
735.3597,730.2084
734.965,726.7554
738.0152,726.1507
736.6335,728.9387
737.4608,725.5344
736.7188,723.1768
736.4612,725.0814
734.8096,727.422
736.4236,724.3862
733.3477,724.5244
735.0922,722.37
734.8243,724.4399
738.2641,725.2985
735.4565,724.3333
740.6806,726.9668
735.3449,725.7623
734.5559,727.095
735.4041,727.7001
732.8392,731.2217
738.4138,725.4625
735.5212,724.0574
736.3033,723.7415
737.66,725.8289
739.5377,726.9457
734.6664,725.9178
732.0147,726.8626
734.3305,723.3717
736.2033,727.4815
735.3678,724.649
734.4845,726.1159
733.203,723.7551
719.1569,727.7338
694.0812,727.2043
643.328,717.6495
594.4784,718.3903
549.5384,712.5623
514.1709,715.3866
493.3746,715.8175
467.3207,719.9874
446.7891,718.0801
429.8612,715.0048
425.1414,719.3986
435.1878,713.89
445.4494,719.5384
443.79,718.1655
441.6917,722.2464
440.5231,720.5695
438.0903,712.2796
431.0077,714.1736
438.8042,712.9151
435.0564,713.5501
431.9732,715.0656
436.9363,712.4824
437.6841,714.2187
433.6539,716.3724
435.5896,717.9344
433.7052,719.9601
431.5288,713.8768
436.8282,715.2924
430.9504,713.176
433.1882,714.7842
430.9208,714.6657
431.5002,717.8372
428.5617,717.1724
428.615,715.7647
430.2559,719.153
428.6507,716.2309
427.0445,716.7788
433.9168,714.7868
434.4428,714.4616
427.5958,714.5447
429.7543,720.7273
431.5023,718.487
428.8757,716.0493
431.3123,713.7772
429.6207,715.7622
431.35,715.098
426.6846,716.9842
429.9709,716.714
429.3628,714.258
429.3967,716.0133
431.3575,714.1898
428.1062,715.9595
426.0847,716.4344
429.1547,719.1611
430.5244,717.1177
428.1646,720.6337
430.0124,716.7244
430.3022,720.7239
429.8055,716.2656
425.8087,719.5177
427.1797,714.4426
429.8549,714.2689
430.3552,713.8632
423.9975,715.8332
431.0745,713.7978
427.1007,713.925
430.6123,713.8297
432.7978,716.7615
426.9157,716.2924
424.1732,714.3267
426.8012,715.7054
428.3657,714.3974
431.1898,716.7283
429.0763,716.8766
426.2316,712.7968
427.5631,718.0352
430.76,715.3566
429.2766,715.5395
427.7012,716.389
432.8292,713.0202
425.5863,717.3909
431.2837,716.1771
430.5917,715.8725
432.909,713.779
429.2996,717.1937
423.8043,713.2541
408.8468,703.7959
384.5667,699.6116
372.673,687.8017
362.1212,684.9091
366.5783,682.8062
375.6106,682.8597
375.9707,687.0211
380.0184,684.7029
381.8114,686.4791
377.7514,685.3049
379.5077,686.6235
376.9085,689.543
368.7037,684.8731
