gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060766746.105,238.0,1.0,307.9785,179.943,465.289,293.374,1.0,168.0
1703060766752.524,238.0,1.0,308.39475,180.258375,465.679,293.676,1.0,168.0
1703060766755.596,238.0,1.0,310.0905,180.29737500000002,467.221,294.04,1.0,168.0
1703060766762.061,238.0,1.0,311.4225,175.76775,468.269,291.135,1.0,168.0
1703060766768.237,238.0,1.0,318.216,176.656125,474.553,293.108,1.0,168.0
1703060766771.1519,238.0,1.0,314.014125,180.252,470.802,294.79,1.0,168.0
1703060766778.0627,240.0,1.0,308.6745,182.31675,463.19,291.63,1.0,162.0
1703060766780.565,240.0,1.0,311.568375,178.771875,465.701,289.513,1.0,162.0
1703060766787.34,240.0,1.0,310.88925,180.175875,465.11,290.425,1.0,162.0
1703060766792.974,240.0,1.0,320.9955,181.933875,473.913,293.277,1.0,162.0
1703060766796.106,240.0,1.0,319.29487500000005,179.78025,472.431,291.447,1.0,162.0
1703060766802.3948,240.0,1.0,317.115375,182.92162499999998,470.522,293.385,1.0,162.0
1703060766805.877,240.0,1.0,319.07175,185.989125,472.222,295.915,1.0,162.0
1703060766811.884,240.0,1.0,320.74837499999995,185.21025,473.688,295.616,1.0,162.0
1703060766817.9878,240.0,1.0,313.91062500000004,181.60875000000001,467.734,291.933,1.0,162.0
1703060766821.141,240.0,1.0,312.81525,184.28775,466.779,293.701,1.0,162.0
1703060766827.424,240.0,1.0,317.623125,183.95362500000002,470.963,294.213,1.0,162.0
1703060766830.464,240.0,1.0,319.042875,180.253875,472.21,291.751,1.0,162.0
1703060766836.815,240.0,1.0,314.56425,185.671125,468.297,294.975,1.0,162.0
1703060766843.2898,240.0,1.0,312.475125,178.20225,466.489,289.241,1.0,162.0
1703060766846.45,240.0,1.0,309.76425,183.58462500000002,464.134,292.716,1.0,162.0
1703060766852.4238,240.0,1.0,312.039,181.0395,466.108,291.229,1.0,162.0
1703060766855.4539,240.0,1.0,309.8865,181.874625,464.24,291.498,1.0,162.0
